GAMA ID,Area,Area th=1,Area th=2,Area th=3,Area th=4,Area th=5,Area th=6,Score 1,Score 2,Score 3,Score 4
266299,321,0,0,0,0,0,0,0,0,0,0
144687,208,0,0,0,0,0,0,0,0,0,0
535761,261,0,0,0,0,0,0,0,0,0,0
372446,536,0,0,0,0,0,0,0,0,0,0
250252,1688,0,0,0,0,0,0,0,0,0,0
220513,621,0,0,0,0,0,0,0,0,0,0
609184,167,0,0,0,0,0,0,0,0,0,0
372749,165,0,0,0,0,0,0,0,0,0,0
3618014,126,0,0,0,0,0,0,0,0,0,0
48548,1038,0,0,0,0,0,0,0,0,0,0
610805,549,0,0,0,0,0,0,0,0,0,0
262672,174,0,0,0,0,0,0,0,0,0,0
238694,169,0,0,0,0,0,0,0,0,0,0
136951,380,0,0,0,0,0,0,0,0,0,0
383051,884,0,0,0,0,0,0,0,0,0,0
228865,74,0,0,0,0,0,0,0,0,0,0
85523,130,0,0,0,0,0,0,0,0,0,0
485733,165,0,0,0,0,0,0,0,0,0,0
39341,4417,0,0,0,0,0,0,0,0,0,0
621997,272,0,0,0,0,0,0,0,0,0,0
537015,282,0,0,0,0,0,0,0,0,0,0
569107,261,0,0,0,0,0,0,0,0,0,0
47427,84,0,0,0,0,0,0,0,0,0,0
64170,129,0,0,0,0,0,0,0,0,0,0
610284,449,0,0,0,0,0,0,0,0,0,0
124375,957,0,0,0,0,0,0,0,0,0,0
170835,264,0,0,0,0,0,0,0,0,0,0
321492,93,0,0,0,0,0,0,0,0,0,0
7490,431,0,0,0,0,0,0,0,0,0,0
585428,180,0,0,0,0,0,0,0,0,0,0
98749,202,0,0,0,0,0,0,0,0,0,0
40423,420,0,0,0,0,0,0,0,0,0,0
143457,208,0,0,0,0,0,0,0,0,0,0
41284,180,0,0,0,0,0,0,0,0,0,0
240334,78,0,0,0,0,0,0,0,0,0,0
518050,231,0,0,0,0,0,0,0,0,0,0
297917,279,0,0,0,0,0,0,0,0,0,0
484643,139,0,0,0,0,0,0,0,0,0,0
370857,177,0,0,0,0,0,0,0,0,0,0
362078,133,0,0,0,0,0,0,0,0,0,0
209434,343,0,0,0,0,0,0,0,0,0,0
402476,349,0,0,0,0,0,0,0,0,0,0
535320,221,0,0,0,0,0,0,0,0,0,0
288565,398,0,0,0,0,0,0,0,0,0,0
363678,436,0,0,0,0,0,0,0,0,0,0
567896,212,0,0,0,0,0,0,0,0,0,0
22494,1063,1,0,0,0,0,0,0,0,0,0
9073,126,0,0,0,0,0,0,0,0,0,0
297877,157,0,0,0,0,0,0,0,0,0,0
486403,157,0,0,0,0,0,0,0,0,0,0
296861,96,0,0,0,0,0,0,0,0,0,0
49145,165,0,0,0,0,0,0,0,0,0,0
289132,162,0,0,0,0,0,0,0,0,0,0
23383,171,0,0,0,0,0,0,0,0,0,0
568915,129,0,0,0,0,0,0,0,0,0,0
3593879,313,0,0,0,0,0,0,0,0,0,0
511988,74,0,0,0,0,0,0,0,0,0,0
593298,517,0,0,0,0,0,0,0,0,0,0
209022,394,0,0,0,0,0,0,0,0,0,0
507734,78,0,0,0,0,0,0,0,0,0,0
343795,95,0,0,0,0,0,0,0,0,0,0
518621,491,0,0,0,0,0,0,0,0,0,0
320091,358,0,0,0,0,0,0,0,0,0,0
419647,129,0,0,0,0,0,0,0,0,0,0
610815,220,0,0,0,0,0,0,0,0,0,0
387769,141,0,0,0,0,0,0,0,0,0,0
323774,218,0,0,0,0,0,0,0,0,0,0
62493,368,0,0,0,0,0,0,0,0,0,0
567977,491,0,0,0,0,0,0,0,0,0,0
251691,77,0,0,0,0,0,0,0,0,0,0
47561,185,0,0,0,0,0,0,0,0,0,0
48202,156,0,0,0,0,0,0,0,0,0,0
23942,247,0,0,0,0,0,0,0,0,0,0
84654,223,0,0,0,0,0,0,0,0,0,0
363845,199,0,0,0,0,0,0,0,0,0,0
323775,221,0,0,0,0,0,0,0,0,0,0
3879141,813,0,0,0,0,0,0,0,0,0,0
491553,80,0,0,0,0,0,0,0,0,0,0
419159,173,0,0,0,0,0,0,0,0,0,0
98850,224,0,0,0,0,0,0,0,0,0,0
39512,110,0,0,0,0,0,0,0,0,0,0
106777,326,0,0,0,0,0,0,0,0,0,0
610256,191,0,0,0,0,0,0,0,0,0,0
49122,115,0,117,0,0,0,0,0,0,0,0
279270,392,0,0,0,0,0,0,0,0,0,0
97918,735,0,0,0,0,0,0,0,0,0,0
558863,191,0,0,0,0,0,0,0,0,0,0
493474,173,0,0,0,0,0,0,0,0,0,0
492940,239,0,0,0,0,0,0,0,0,0,0
47843,75,0,0,0,0,0,0,0,0,0,0
214932,552,0,0,0,0,0,0,0,0,0,0
593299,131,0,0,0,0,0,0,0,0,0,0
64610,319,0,0,0,0,0,0,0,0,0,0
250979,220,0,0,0,0,0,0,0,0,0,0
16243,224,267,0,0,0,0,0,0,0,0,0
125729,126,0,0,0,0,0,0,0,0,0,0
228607,134,0,0,0,0,0,0,0,0,0,0
396621,1144,0,0,0,0,0,0,0,0,0,0
62645,139,0,0,0,0,0,0,0,0,0,0
71006,157,0,0,0,0,0,0,0,0,0,0
