,0
907,1-436238
908,1-65583
909,1-450685
910,1-55612
911,1-435187
912,1-225763
913,1-112611
914,1-386844
915,1-464599
916,1-232847
917,1-501425
918,1-168519
919,1-221534
920,1-184449
921,1-265980
922,1-78889
923,1-397955
924,1-504977
925,1-395475
926,1-575229
927,1-574665
928,1-520330
929,1-510365
930,1-451303
931,1-273642
932,1-117312
933,1-322679
934,1-334776
935,1-231204
936,1-286771
937,1-3494
938,1-469008
939,1-326947
940,1-180514
941,1-276198
942,1-166300
943,1-541405
944,1-111232
945,1-239787
946,1-241916
947,1-298623
948,1-274037
949,1-378123
950,1-401864
951,1-81117
952,1-323888
953,1-15985
954,1-350186
955,1-631854
956,1-327874
957,1-173587
958,1-500915
959,1-576031
960,1-213414
961,1-234341
962,1-443446
963,1-381299
964,1-42078
965,1-591892
966,1-51125
967,1-448233
968,1-589702
969,1-306896
970,1-387445
971,1-79770
972,1-339871
973,1-358818
974,1-33570
975,1-32185
976,1-277366
977,1-106338
978,1-380872
979,1-596378
980,1-126287
981,1-233861
982,1-237489
983,1-567220
984,1-453865
985,1-211994
986,1-520496
987,1-130118
988,1-422787
989,1-530768
990,1-55037
991,1-383072
992,1-507201
993,1-222593
994,1-66064
995,1-206349
996,1-298600
997,1-156137
998,1-197287
999,1-49088
1000,1-493240
1001,1-485371
1002,1-210748
1003,1-547915
1004,1-135133
1005,1-443280
1006,1-324562
1007,1-4036
1008,1-590163
1009,1-282165
1010,1-524470
1011,1-92908
1012,1-459275
1013,1-234545
1014,1-224495
1015,1-160464
1016,1-476095
1017,1-281125
1018,1-301736
1019,1-114245
1020,1-399816
1021,1-559811
1022,1-379605
1023,1-254202
1024,1-340315
1025,1-28659
1026,1-485558
1027,1-532548
1028,1-391614
1029,1-74924
1030,1-195843
1031,1-51941
1032,1-524268
1033,1-92526
1034,1-444815
1035,1-438781
1036,1-72209
1037,1-565291
1038,1-442887
1039,1-466534
1040,1-539160
1041,1-109849
1042,1-355248
1043,1-627377
1044,1-335376
1045,1-94690
1046,1-151637
1047,1-342126
1048,1-301856
1049,1-575233
1050,1-626075
1051,1-494683
1052,1-32997
1053,1-526163
1054,1-162219
1055,1-497165
1056,1-626463
1057,1-91747
1058,1-633805
1059,1-453790
1060,1-449090
1061,1-247621
1062,1-321914
1063,1-260643
1064,1-23729
1065,1-547191
1066,1-136044
1067,1-68577
1068,1-24156
1069,1-102392
1070,1-333770
1071,1-638764
1072,1-120636
1073,1-493320
1074,1-41158
1075,1-33398
1076,1-106042
1077,1-542775
1078,1-454229
1079,1-59610
1080,1-512675
1081,1-423463
1082,1-311995
1083,1-266916
1084,1-161897
1085,1-586859
1086,1-265247
1087,1-456664
1088,1-461927
1089,1-393939
1090,1-531747
1091,1-508762
1092,1-376388
1093,1-196310
1094,1-620349
1095,1-251788
1096,1-380379
1097,1-179423
1098,1-259618
1099,1-123185
1100,1-490214
1101,1-592418
1102,1-199432
1103,1-251103
1104,1-119871
1105,1-639321
1106,1-103664
1107,1-480314
1108,1-491351
1109,1-498046
1110,1-24955
1111,1-30833
1112,1-249024
1113,1-426785
1114,1-187680
1115,1-90537
1116,1-509363
1117,1-458697
1118,1-60834
1119,1-28913
1120,1-460915
1121,1-442484
1122,1-338279
1123,1-369526
1124,1-541483
1125,1-400984
1126,1-448724
1127,1-496007
1128,1-258876
1129,1-358742
1130,1-458738
1131,1-512692
1132,1-584905
1133,1-230790
1134,1-9337
1135,1-305346
1136,1-458359
1137,1-441840
1138,1-329724
1139,1-83265
1140,1-85635
1141,1-623425
1142,1-145086
1143,1-378957
1144,1-210802
1145,1-496307
1146,1-439299
1147,1-260377
1148,1-32539
1149,1-405292
1150,1-589256
1151,1-528663
1152,1-295062
1153,1-201392
1154,1-395508
1155,1-248710
1156,1-247628
1157,1-70031
1158,1-240742
1159,1-170011
1160,1-236141
1161,1-415304
1162,1-448482
1163,1-456819
1164,1-147997
1165,1-593528
1166,1-135202
1167,1-229665
1168,1-402521
1169,1-232106
1170,1-332447
1171,1-150245
1172,1-443681
1173,1-143704
1174,1-85005
1175,1-63727
1176,1-212471
1177,1-240311
1178,1-158251
1179,1-137413
1180,1-299674
1181,1-407722
1182,1-117301
1183,1-515408
1184,1-130711
1185,1-524974
1186,1-444382
1187,1-611570
1188,1-516416
1189,1-585206
1190,1-34349
1191,1-200189
1192,1-317694
1193,1-507534
1194,1-208905
1195,1-499371
1196,1-48760
1197,1-610913
1198,1-232850
1199,1-6069
1200,1-320664
1201,1-129732
